,year,level_norm,city,count
1,1964,0.0,Crescent City,8
2,1965,49.5,Crescent City,8
3,1966,4.7,Crescent City,8
4,1967,-8.2,Crescent City,8
5,1968,0.0999999999999,Crescent City,8
6,1969,32.2,Crescent City,8
7,1970,-7.1,Crescent City,8
8,1971,-45.8,Crescent City,8
9,1972,27.7,Crescent City,8
10,1973,-18.8,Crescent City,8
11,1974,-24.6,Crescent City,8
12,1975,-67.7,Crescent City,8
13,1976,-32.9,Crescent City,8
14,1977,-34.9,Crescent City,8
15,1978,-1.8,Crescent City,8
16,1979,40.8,Crescent City,8
17,1980,-12.6,Crescent City,8
18,1981,-15.5,Crescent City,8
19,1982,36.2,Crescent City,8
20,1983,120.6,Crescent City,8
21,1984,-15.1,Crescent City,8
22,1985,-64.8,Crescent City,8
23,1986,-5.2,Crescent City,8
24,1987,-33.7,Crescent City,8
25,1988,-82.2,Crescent City,8
26,1989,-51.1,Crescent City,8
27,1990,-41.9,Crescent City,8
28,1991,-25.1,Crescent City,8
29,1992,61.0,Crescent City,8
30,1993,34.4,Crescent City,8
31,1994,-20.2,Crescent City,8
32,1995,26.9,Crescent City,8
33,1996,-15.6,Crescent City,8
34,1997,12.7,Crescent City,8
35,1998,17.9,Crescent City,8
36,1999,-72.2,Crescent City,8
37,2000,-54.9,Crescent City,8
38,2001,-77.3,Crescent City,8
39,2002,-48.8,Crescent City,8
40,2003,-17.0,Crescent City,8
41,2004,-28.7,Crescent City,8
42,2005,-7.4,Crescent City,8
43,2006,-6.3,Crescent City,8
44,2007,-88.9,Crescent City,8
45,2008,-73.7,Crescent City,8
46,2009,-51.2,Crescent City,8
47,2010,-14.3,Crescent City,8
48,2011,-76.8,Crescent City,8
49,2012,-47.4,Crescent City,8
50,2013,-119.3,Crescent City,8
51,2014,-5.3,Crescent City,8
