,year,level_norm,city,count
1,1964,0.0,La Jolla,19
2,1965,65.1,La Jolla,19
3,1966,76.5,La Jolla,19
4,1967,94.3,La Jolla,19
5,1968,56.3,La Jolla,19
6,1969,75.4,La Jolla,19
7,1970,49.4,La Jolla,19
8,1971,24.6,La Jolla,19
9,1972,117.2,La Jolla,19
10,1973,34.1,La Jolla,19
11,1974,49.4,La Jolla,19
12,1975,22.5,La Jolla,19
13,1976,82.8,La Jolla,19
14,1977,65.4,La Jolla,19
15,1978,108.6,La Jolla,19
16,1979,80.9,La Jolla,19
17,1980,84.4,La Jolla,19
18,1981,82.8,La Jolla,19
19,1982,119.5,La Jolla,19
20,1983,177.4,La Jolla,19
21,1984,123.4,La Jolla,19
22,1985,83.1,La Jolla,19
23,1986,100.2,La Jolla,19
24,1987,118.5,La Jolla,19
25,1988,79.7,La Jolla,19
26,1989,94.4,La Jolla,19
27,1990,139.7,La Jolla,19
28,1991,131.2,La Jolla,19
29,1992,177.1,La Jolla,19
30,1993,146.9,La Jolla,19
31,1994,98.2,La Jolla,19
32,1995,110.0,La Jolla,19
33,1996,101.9,La Jolla,19
34,1997,206.7,La Jolla,19
35,1998,145.7,La Jolla,19
36,1999,73.0,La Jolla,19
37,2000,95.0,La Jolla,19
38,2001,91.8,La Jolla,19
39,2002,99.1,La Jolla,19
40,2003,122.3,La Jolla,19
41,2004,143.9,La Jolla,19
42,2005,138.0,La Jolla,19
43,2006,118.1,La Jolla,19
44,2008,122.0,La Jolla,19
45,2009,134.3,La Jolla,19
46,2010,118.7,La Jolla,19
47,2011,138.5,La Jolla,19
48,2012,168.2,La Jolla,19
49,2013,153.2,La Jolla,19
50,2014,236.6,La Jolla,19
