,year,level_norm,city,count
1,1964,0.0,Nawiliwili Bay,25
2,1965,-36.0,Nawiliwili Bay,25
3,1966,-13.3,Nawiliwili Bay,25
4,1967,-62.8,Nawiliwili Bay,25
5,1968,29.7,Nawiliwili Bay,25
6,1969,33.1,Nawiliwili Bay,25
7,1970,-21.4,Nawiliwili Bay,25
8,1971,-26.3,Nawiliwili Bay,25
9,1972,-34.6,Nawiliwili Bay,25
10,1973,-4.1,Nawiliwili Bay,25
11,1974,31.1,Nawiliwili Bay,25
12,1975,9.8,Nawiliwili Bay,25
13,1976,3.1,Nawiliwili Bay,25
14,1977,21.8,Nawiliwili Bay,25
15,1978,29.7,Nawiliwili Bay,25
16,1979,27.3,Nawiliwili Bay,25
17,1980,52.9,Nawiliwili Bay,25
18,1981,87.3,Nawiliwili Bay,25
19,1982,-11.8,Nawiliwili Bay,25
20,1983,47.0,Nawiliwili Bay,25
21,1984,54.8,Nawiliwili Bay,25
22,1985,59.2,Nawiliwili Bay,25
23,1986,-14.4,Nawiliwili Bay,25
24,1987,-45.4,Nawiliwili Bay,25
25,1988,63.3,Nawiliwili Bay,25
26,1989,31.7,Nawiliwili Bay,25
27,1990,5.0,Nawiliwili Bay,25
28,1991,27.0,Nawiliwili Bay,25
29,1992,56.5,Nawiliwili Bay,25
30,1993,44.9,Nawiliwili Bay,25
31,1994,26.5,Nawiliwili Bay,25
32,1995,67.2,Nawiliwili Bay,25
33,1996,91.5,Nawiliwili Bay,25
34,1997,49.2,Nawiliwili Bay,25
35,1998,-23.8,Nawiliwili Bay,25
36,1999,31.9,Nawiliwili Bay,25
37,2000,12.0,Nawiliwili Bay,25
38,2001,6.2,Nawiliwili Bay,25
39,2002,20.5,Nawiliwili Bay,25
40,2003,73.9,Nawiliwili Bay,25
41,2004,65.6,Nawiliwili Bay,25
42,2005,60.8,Nawiliwili Bay,25
43,2006,109.0,Nawiliwili Bay,25
44,2007,59.6,Nawiliwili Bay,25
45,2008,76.4,Nawiliwili Bay,25
46,2009,21.4,Nawiliwili Bay,25
47,2010,23.0,Nawiliwili Bay,25
48,2011,54.1,Nawiliwili Bay,25
49,2012,50.7,Nawiliwili Bay,25
50,2013,74.3,Nawiliwili Bay,25
51,2014,90.7,Nawiliwili Bay,25
