,year,level_norm,city,count
1,1964,0.0,Portland,33
2,1965,9.1,Portland,33
3,1966,25.7,Portland,33
4,1967,20.0,Portland,33
5,1968,54.4,Portland,33
6,1969,101.9,Portland,33
7,1970,112.0,Portland,33
8,1971,112.7,Portland,33
9,1972,70.0,Portland,33
10,1973,44.6,Portland,33
11,1974,25.4,Portland,33
12,1975,70.9,Portland,33
13,1976,98.8,Portland,33
14,1977,129.6,Portland,33
15,1978,109.2,Portland,33
16,1979,77.4,Portland,33
17,1980,64.7,Portland,33
18,1981,88.5,Portland,33
19,1982,45.1,Portland,33
20,1983,115.1,Portland,33
21,1984,82.5,Portland,33
22,1985,60.1,Portland,33
23,1986,59.0,Portland,33
24,1987,85.0,Portland,33
25,1988,55.1,Portland,33
26,1989,34.3,Portland,33
27,1990,36.2,Portland,33
28,1991,89.0,Portland,33
29,1992,76.4,Portland,33
30,1993,83.1,Portland,33
31,1994,42.4,Portland,33
32,1995,87.8,Portland,33
33,1996,118.8,Portland,33
34,1997,106.7,Portland,33
35,1998,121.4,Portland,33
36,1999,71.0,Portland,33
37,2000,72.5,Portland,33
38,2001,69.7,Portland,33
39,2002,57.0,Portland,33
40,2003,88.8,Portland,33
41,2004,91.7,Portland,33
42,2005,148.3,Portland,33
43,2006,122.5,Portland,33
44,2007,66.1,Portland,33
45,2008,88.7,Portland,33
46,2009,142.1,Portland,33
47,2010,215.1,Portland,33
48,2011,168.4,Portland,33
49,2012,163.2,Portland,33
50,2013,144.8,Portland,33
51,2014,136.9,Portland,33
