year,level
1990,1404.45
1991,1408.38
1992,1346.68
1993,1336.36
1994,1428.3
1995,1408.49
1996,1447.16
1997,1445.24
1998,1436.14
1999,1515.95
2000,1475.85
2001,1482.63
2002,1428.88
2003,1435.09
2004,1399.31
2005,1438.54
2006,1420.93
2007,1371.69
2008,1407.79
2009,1487.1
2010,1433.05
2011,1495.96
2012,1484.42
2013,1456.55
2014,1481.17
