,year,level_norm,city,count
1,1964,0.0,Astoria (Tongue Point),3
2,1965,50.1,Astoria (Tongue Point),3
3,1966,5.4,Astoria (Tongue Point),3
4,1967,17.2,Astoria (Tongue Point),3
5,1968,28.5,Astoria (Tongue Point),3
6,1969,64.4,Astoria (Tongue Point),3
7,1970,-11.7,Astoria (Tongue Point),3
8,1971,51.2,Astoria (Tongue Point),3
9,1972,85.6,Astoria (Tongue Point),3
10,1973,-21.7,Astoria (Tongue Point),3
11,1974,47.3,Astoria (Tongue Point),3
12,1975,-3.8,Astoria (Tongue Point),3
13,1976,10.3,Astoria (Tongue Point),3
14,1977,-43.8,Astoria (Tongue Point),3
15,1978,-3.2,Astoria (Tongue Point),3
16,1979,-26.8,Astoria (Tongue Point),3
17,1980,-10.7,Astoria (Tongue Point),3
18,1981,28.6,Astoria (Tongue Point),3
19,1982,95.6,Astoria (Tongue Point),3
20,1983,145.2,Astoria (Tongue Point),3
21,1984,58.3,Astoria (Tongue Point),3
22,1985,-63.4,Astoria (Tongue Point),3
23,1986,14.8,Astoria (Tongue Point),3
24,1987,-11.6,Astoria (Tongue Point),3
25,1988,-55.3,Astoria (Tongue Point),3
26,1989,-48.2,Astoria (Tongue Point),3
27,1990,7.8,Astoria (Tongue Point),3
28,1991,-4.0,Astoria (Tongue Point),3
29,1992,14.6,Astoria (Tongue Point),3
30,1993,1.5,Astoria (Tongue Point),3
31,1994,-8.1,Astoria (Tongue Point),3
32,1995,67.5,Astoria (Tongue Point),3
33,1996,79.1,Astoria (Tongue Point),3
34,1997,150.1,Astoria (Tongue Point),3
35,1998,77.6,Astoria (Tongue Point),3
36,1999,34.0,Astoria (Tongue Point),3
37,2000,-25.3,Astoria (Tongue Point),3
38,2001,-72.7,Astoria (Tongue Point),3
39,2002,-19.1,Astoria (Tongue Point),3
40,2003,20.2,Astoria (Tongue Point),3
41,2004,1.2,Astoria (Tongue Point),3
42,2005,1.5,Astoria (Tongue Point),3
43,2006,51.4,Astoria (Tongue Point),3
44,2007,-28.6,Astoria (Tongue Point),3
45,2008,-19.3,Astoria (Tongue Point),3
46,2009,-9.0,Astoria (Tongue Point),3
47,2010,38.6,Astoria (Tongue Point),3
48,2011,45.1,Astoria (Tongue Point),3
49,2012,86.3,Astoria (Tongue Point),3
50,2013,-48.8,Astoria (Tongue Point),3
51,2014,76.8,Astoria (Tongue Point),3
