year,level
1990,1838.96
1991,1881.57
1992,1877.7
1993,1871.49
1994,1912.36
1995,1900.44
1996,1891.71
1997,1918.63
1998,1909.0
1999,1912.12
2000,1898.02
2001,1876.75
2002,1898.43
2003,1906.63
2004,1914.5
2005,1882.65
2006,1920.07
2007,1929.27
2008,1976.09
2009,1938.26
2010,1946.58
2011,1967.08
2012,1983.68
2013,1978.26
2014,1977.19
2015,1918.49
