,year,level_norm,city,count
1,1964,0.0,Hilo,13
2,1965,10.9,Hilo,13
3,1966,35.6,Hilo,13
4,1967,24.4,Hilo,13
5,1968,34.3,Hilo,13
6,1969,67.5,Hilo,13
7,1970,-2.2,Hilo,13
8,1971,-26.2,Hilo,13
9,1972,-38.3,Hilo,13
10,1973,-12.0,Hilo,13
11,1974,91.4,Hilo,13
12,1975,-23.4,Hilo,13
13,1976,4.5,Hilo,13
14,1977,22.1,Hilo,13
15,1978,109.7,Hilo,13
16,1979,73.0,Hilo,13
17,1980,109.7,Hilo,13
18,1981,118.1,Hilo,13
19,1982,68.0,Hilo,13
20,1983,86.3,Hilo,13
21,1984,110.9,Hilo,13
22,1985,65.8,Hilo,13
23,1986,31.0,Hilo,13
24,1987,91.7,Hilo,13
25,1988,111.6,Hilo,13
26,1989,77.0,Hilo,13
27,1990,38.6,Hilo,13
28,1991,69.4,Hilo,13
29,1992,125.8,Hilo,13
30,1993,130.3,Hilo,13
31,1994,64.9,Hilo,13
32,1995,106.1,Hilo,13
33,1996,131.7,Hilo,13
34,1997,120.0,Hilo,13
35,1998,64.5,Hilo,13
36,1999,81.1,Hilo,13
37,2000,24.2,Hilo,13
38,2001,103.3,Hilo,13
39,2002,102.1,Hilo,13
40,2003,141.1,Hilo,13
41,2004,184.5,Hilo,13
42,2005,139.5,Hilo,13
43,2006,132.9,Hilo,13
44,2007,126.1,Hilo,13
45,2008,120.9,Hilo,13
46,2009,75.5,Hilo,13
47,2010,113.0,Hilo,13
48,2011,105.2,Hilo,13
49,2012,74.6,Hilo,13
50,2013,119.5,Hilo,13
51,2014,136.3,Hilo,13
