Latitude,Longitude,city,level
48.38300, -4.50000, Brest, 85.7
48.42000, -123.37000, Victoria, 60.7
49.15000, -125.91700, Tofino, 63.7
51.86700, -176.63300, Adak, 9.7
53.87000, 8.72000, Cuxhaven, -21.3
53.88300, -166.53300, Unalaska_(Dutch_Harbor), 22.6
54.31700, -130.31700, Prince_Rupert, 46.5
55.33300, -131.63000, Ketchikan, -55.2
55.33700, -160.50200, Sand_Point, 106.8
57.05200, -135.34200, Sitka, -71.1
57.68300, 11.80000, Goteborg-Torshamnen_(Gothenburg), -20.7
57.73200, -152.51200, Kodiak, -126.7
59.32000, 18.08000, Stockholm, -123.0
59.43700, -151.71700, Seldovia, -129.2
59.54800, -139.73500, Yakutat, -301.3
6.86700, 99.76700, Langkawi, 115.7
60.11900, -149.42700, Seward, -65.9
60.55800, -145.75300, Cordova, 5.6
61.12500, -146.36200, Valdez, -161.5
61.93300, 5.11700, Maloy, 56.7
64.86700, 11.25000, Rorvik, -40.8
7.11700, 171.36700, Majuro, 85.5
7.32800, 134.45000, Malakal, 103.2
70.34000, 31.03000, Vardoe, -19.0
70.38800, -148.51000, Prudhoe_Bay, 23.2
70.98000, 25.98000, Honningsvag, -8.9
78.93000, 11.95000, Ny-Alesund, -221.7
8.73700, 167.73800, Kwajalein, 112.6
8.97000, -79.57000, Balboa, 12.1
9.51400, 138.12500, Yap, 131.1
