,year,level_norm,city,count
1,1964,0.0,St. Petersburg,38
2,1965,184.4,St. Petersburg,38
3,1966,190.5,St. Petersburg,38
4,1967,198.5,St. Petersburg,38
5,1968,156.1,St. Petersburg,38
6,1969,168.8,St. Petersburg,38
7,1970,189.6,St. Petersburg,38
8,1971,173.3,St. Petersburg,38
9,1972,217.9,St. Petersburg,38
10,1973,237.1,St. Petersburg,38
11,1974,212.0,St. Petersburg,38
12,1975,241.9,St. Petersburg,38
13,1976,170.9,St. Petersburg,38
14,1977,177.8,St. Petersburg,38
15,1978,181.7,St. Petersburg,38
16,1979,222.9,St. Petersburg,38
17,1980,210.9,St. Petersburg,38
18,1981,196.3,St. Petersburg,38
19,1982,212.7,St. Petersburg,38
20,1983,253.4,St. Petersburg,38
21,1984,242.0,St. Petersburg,38
22,1985,252.1,St. Petersburg,38
23,1986,253.1,St. Petersburg,38
24,1987,251.5,St. Petersburg,38
25,1988,222.4,St. Petersburg,38
26,1989,250.6,St. Petersburg,38
27,1990,253.5,St. Petersburg,38
28,1991,265.8,St. Petersburg,38
29,1992,244.1,St. Petersburg,38
30,1993,237.8,St. Petersburg,38
31,1994,249.7,St. Petersburg,38
32,1995,282.9,St. Petersburg,38
33,1996,227.7,St. Petersburg,38
34,1997,260.0,St. Petersburg,38
35,1998,262.1,St. Petersburg,38
36,1999,283.8,St. Petersburg,38
37,2000,262.8,St. Petersburg,38
38,2001,227.2,St. Petersburg,38
39,2002,263.0,St. Petersburg,38
40,2003,293.6,St. Petersburg,38
41,2004,276.3,St. Petersburg,38
42,2005,296.3,St. Petersburg,38
43,2006,273.9,St. Petersburg,38
44,2007,286.0,St. Petersburg,38
45,2008,283.9,St. Petersburg,38
46,2009,315.0,St. Petersburg,38
47,2010,296.6,St. Petersburg,38
48,2011,291.0,St. Petersburg,38
49,2012,360.7,St. Petersburg,38
50,2013,330.4,St. Petersburg,38
51,2014,344.4,St. Petersburg,38
