,year,level_norm,city,count
1,1964,0.0,Midway Is. (Sand Is.),22
2,1965,-25.3,Midway Is. (Sand Is.),22
3,1966,-71.7,Midway Is. (Sand Is.),22
4,1967,-60.1,Midway Is. (Sand Is.),22
5,1968,-29.7,Midway Is. (Sand Is.),22
6,1969,-118.0,Midway Is. (Sand Is.),22
7,1970,-63.3,Midway Is. (Sand Is.),22
8,1971,-37.2,Midway Is. (Sand Is.),22
9,1972,-111.5,Midway Is. (Sand Is.),22
10,1973,27.3,Midway Is. (Sand Is.),22
11,1974,-37.7,Midway Is. (Sand Is.),22
12,1975,-115.2,Midway Is. (Sand Is.),22
13,1976,6.2,Midway Is. (Sand Is.),22
14,1977,-43.7,Midway Is. (Sand Is.),22
15,1978,-105.8,Midway Is. (Sand Is.),22
16,1979,-81.1,Midway Is. (Sand Is.),22
17,1980,-98.5,Midway Is. (Sand Is.),22
18,1981,-111.4,Midway Is. (Sand Is.),22
19,1982,-82.6,Midway Is. (Sand Is.),22
20,1983,-95.9,Midway Is. (Sand Is.),22
21,1984,-22.0,Midway Is. (Sand Is.),22
22,1985,-68.3,Midway Is. (Sand Is.),22
23,1986,-35.8,Midway Is. (Sand Is.),22
24,1987,-43.5,Midway Is. (Sand Is.),22
25,1988,-75.6,Midway Is. (Sand Is.),22
26,1989,-54.8,Midway Is. (Sand Is.),22
27,1990,-43.6,Midway Is. (Sand Is.),22
28,1991,-27.1,Midway Is. (Sand Is.),22
29,1992,-47.3,Midway Is. (Sand Is.),22
30,1993,-71.5,Midway Is. (Sand Is.),22
31,1994,-39.6,Midway Is. (Sand Is.),22
32,1995,-13.3,Midway Is. (Sand Is.),22
33,1996,-42.7,Midway Is. (Sand Is.),22
34,1997,-112.5,Midway Is. (Sand Is.),22
35,1998,1.2,Midway Is. (Sand Is.),22
36,1999,-17.4,Midway Is. (Sand Is.),22
37,2000,28.1,Midway Is. (Sand Is.),22
38,2001,11.4,Midway Is. (Sand Is.),22
39,2002,5.2,Midway Is. (Sand Is.),22
40,2003,17.3,Midway Is. (Sand Is.),22
41,2004,19.8,Midway Is. (Sand Is.),22
42,2005,-38.4,Midway Is. (Sand Is.),22
43,2006,-8.1,Midway Is. (Sand Is.),22
44,2007,-12.5,Midway Is. (Sand Is.),22
45,2008,37.9,Midway Is. (Sand Is.),22
46,2009,48.9,Midway Is. (Sand Is.),22
47,2010,40.9,Midway Is. (Sand Is.),22
48,2011,-34.1,Midway Is. (Sand Is.),22
49,2012,87.3,Midway Is. (Sand Is.),22
50,2013,47.9,Midway Is. (Sand Is.),22
51,2014,60.1,Midway Is. (Sand Is.),22
