,year,level_norm,city,count
1,1964,0.0,San Diego,35
2,1965,48.5,San Diego,35
3,1966,48.9,San Diego,35
4,1967,27.1,San Diego,35
5,1968,34.7,San Diego,35
6,1969,56.9,San Diego,35
7,1970,11.6,San Diego,35
8,1971,20.6,San Diego,35
9,1972,85.2,San Diego,35
10,1973,19.1,San Diego,35
11,1974,52.1,San Diego,35
12,1975,19.4,San Diego,35
13,1976,78.9,San Diego,35
14,1977,58.8,San Diego,35
15,1978,80.1,San Diego,35
16,1979,59.0,San Diego,35
17,1980,86.3,San Diego,35
18,1981,78.4,San Diego,35
19,1982,116.4,San Diego,35
20,1983,179.1,San Diego,35
21,1984,126.8,San Diego,35
22,1985,79.2,San Diego,35
23,1986,92.4,San Diego,35
24,1987,107.5,San Diego,35
25,1988,50.3,San Diego,35
26,1989,66.3,San Diego,35
27,1990,106.5,San Diego,35
28,1991,109.2,San Diego,35
29,1992,164.5,San Diego,35
30,1993,142.7,San Diego,35
31,1994,105.8,San Diego,35
32,1995,105.2,San Diego,35
33,1996,84.5,San Diego,35
34,1997,181.3,San Diego,35
35,1998,120.8,San Diego,35
36,1999,52.0,San Diego,35
37,2000,67.1,San Diego,35
38,2001,72.8,San Diego,35
39,2002,85.6,San Diego,35
40,2003,112.4,San Diego,35
41,2004,124.0,San Diego,35
42,2005,118.3,San Diego,35
43,2006,127.6,San Diego,35
44,2007,86.5,San Diego,35
45,2008,118.3,San Diego,35
46,2009,137.8,San Diego,35
47,2010,123.0,San Diego,35
48,2011,122.7,San Diego,35
49,2012,147.0,San Diego,35
50,2013,142.9,San Diego,35
51,2014,214.3,San Diego,35
