,year,level_norm,city,count
1,1964,0.0,Mokuoloe Is.,23
2,1965,-6.8,Mokuoloe Is.,23
3,1966,-1.6,Mokuoloe Is.,23
4,1967,-33.6,Mokuoloe Is.,23
5,1968,8.4,Mokuoloe Is.,23
6,1969,32.0,Mokuoloe Is.,23
7,1971,-40.7,Mokuoloe Is.,23
8,1974,48.2,Mokuoloe Is.,23
9,1981,77.5,Mokuoloe Is.,23
10,1982,-18.4,Mokuoloe Is.,23
11,1983,4.5,Mokuoloe Is.,23
12,1984,48.7,Mokuoloe Is.,23
13,1985,26.0,Mokuoloe Is.,23
14,1986,-39.2,Mokuoloe Is.,23
15,1987,-17.9,Mokuoloe Is.,23
16,1988,68.7,Mokuoloe Is.,23
17,1989,11.9,Mokuoloe Is.,23
18,1990,-24.9,Mokuoloe Is.,23
19,1991,31.1,Mokuoloe Is.,23
20,1992,51.4,Mokuoloe Is.,23
21,1993,34.9,Mokuoloe Is.,23
22,1994,30.0,Mokuoloe Is.,23
23,1995,73.3,Mokuoloe Is.,23
24,1996,71.8,Mokuoloe Is.,23
25,1997,61.5,Mokuoloe Is.,23
26,1998,-9.6,Mokuoloe Is.,23
27,1999,17.2,Mokuoloe Is.,23
28,2000,-10.7,Mokuoloe Is.,23
29,2001,16.2,Mokuoloe Is.,23
30,2002,17.9,Mokuoloe Is.,23
31,2003,89.3,Mokuoloe Is.,23
32,2004,92.9,Mokuoloe Is.,23
33,2005,54.5,Mokuoloe Is.,23
34,2006,88.9,Mokuoloe Is.,23
35,2007,51.3,Mokuoloe Is.,23
36,2008,59.9,Mokuoloe Is.,23
37,2009,10.1,Mokuoloe Is.,23
38,2010,35.7,Mokuoloe Is.,23
39,2011,35.3,Mokuoloe Is.,23
40,2012,33.7,Mokuoloe Is.,23
41,2013,44.7,Mokuoloe Is.,23
42,2014,63.6,Mokuoloe Is.,23
