,year,level_norm,city,count
1,1964,0.0,Cordova,7
2,1965,-19.7,Cordova,7
3,1966,45.7,Cordova,7
4,1967,27.7,Cordova,7
5,1968,79.8,Cordova,7
6,1970,67.9,Cordova,7
7,1971,64.0,Cordova,7
8,1972,49.2,Cordova,7
9,1973,81.2,Cordova,7
10,1974,112.2,Cordova,7
11,1978,206.1,Cordova,7
12,1979,139.4,Cordova,7
13,1980,174.5,Cordova,7
14,1981,194.3,Cordova,7
15,1982,143.9,Cordova,7
16,1983,235.8,Cordova,7
17,1984,226.5,Cordova,7
18,1985,132.1,Cordova,7
19,1986,198.2,Cordova,7
20,1987,266.0,Cordova,7
21,1988,263.2,Cordova,7
22,1989,162.0,Cordova,7
23,1990,190.2,Cordova,7
24,1991,205.0,Cordova,7
25,1992,276.2,Cordova,7
26,1993,215.2,Cordova,7
27,1994,231.8,Cordova,7
28,1995,218.0,Cordova,7
29,1996,165.5,Cordova,7
30,1997,263.7,Cordova,7
31,1998,239.1,Cordova,7
32,1999,228.6,Cordova,7
33,2000,218.0,Cordova,7
34,2001,258.9,Cordova,7
35,2002,212.9,Cordova,7
36,2003,254.9,Cordova,7
37,2004,221.7,Cordova,7
38,2005,264.6,Cordova,7
39,2006,260.5,Cordova,7
40,2007,212.5,Cordova,7
41,2008,223.4,Cordova,7
42,2009,175.2,Cordova,7
43,2010,247.8,Cordova,7
44,2011,188.4,Cordova,7
45,2012,227.5,Cordova,7
46,2013,141.9,Cordova,7
47,2014,237.4,Cordova,7
