year,level_norm,city
1984,0.0,Newport
1985,-16.3,Newport
1986,-22.6,Newport
1987,-0.3,Newport
1988,-43.0,Newport
1989,-56.3,Newport
1990,-48.2,Newport
1991,-4.9,Newport
1992,-4.4,Newport
1993,4.6,Newport
1994,-39.6,Newport
1995,-6.6,Newport
1996,42.6,Newport
1997,39.3,Newport
1998,62.2,Newport
1999,21.0,Newport
2000,5.1,Newport
2001,18.8,Newport
2002,1.6,Newport
2003,13.8,Newport
2004,16.0,Newport
2005,72.9,Newport
2006,58.0,Newport
2007,12.5,Newport
2008,38.9,Newport
2009,69.8,Newport
2010,126.4,Newport
2011,99.4,Newport
2012,90.8,Newport
2013,68.2,Newport
2014,67.9,Newport
