year,level_norm,city
1984,0.0,Maisaka
1985,-25.4,Maisaka
1986,5.5,Maisaka
1987,98.7,Maisaka
1988,39.2,Maisaka
1989,12.7,Maisaka
1990,70.9,Maisaka
1991,29.7,Maisaka
1992,52.9,Maisaka
1993,10.9,Maisaka
1994,34.4,Maisaka
1995,24.1,Maisaka
1996,-22.0,Maisaka
1997,12.7,Maisaka
1998,62.1,Maisaka
1999,82.5,Maisaka
2000,82.5,Maisaka
2001,59.6,Maisaka
2002,38.8,Maisaka
2003,49.0,Maisaka
2004,102.6,Maisaka
2005,-6.1,Maisaka
2006,-59.0,Maisaka
2007,4.2,Maisaka
2008,2.9,Maisaka
2009,1.6,Maisaka
2010,16.7,Maisaka
2011,19.5,Maisaka
2012,53.8,Maisaka
2013,62.2,Maisaka
2014,-14.9,Maisaka
