year,level_norm,city
1984,0.0,Port Isabel
1985,107.3,Port Isabel
1986,68.1,Port Isabel
1987,35.8,Port Isabel
1988,29.4,Port Isabel
1989,29.7,Port Isabel
1990,73.2,Port Isabel
1991,108.6,Port Isabel
1992,106.9,Port Isabel
1993,96.7,Port Isabel
1994,105.7,Port Isabel
1995,143.9,Port Isabel
1996,108.4,Port Isabel
1997,139.7,Port Isabel
1998,168.9,Port Isabel
1999,155.6,Port Isabel
2000,138.3,Port Isabel
2001,132.1,Port Isabel
2002,185.0,Port Isabel
2003,172.4,Port Isabel
2004,167.4,Port Isabel
2005,195.3,Port Isabel
2006,120.9,Port Isabel
2007,197.1,Port Isabel
2008,204.4,Port Isabel
2009,193.9,Port Isabel
2010,194.2,Port Isabel
2011,179.0,Port Isabel
2012,272.2,Port Isabel
2013,200.6,Port Isabel
2014,178.2,Port Isabel
