year,level_norm,city
1984,0.0,Neah Bay
1985,-90.2,Neah Bay
1986,-16.0,Neah Bay
1987,-22.0,Neah Bay
1988,-70.6,Neah Bay
1989,-72.8,Neah Bay
1990,-45.2,Neah Bay
1991,-59.8,Neah Bay
1992,13.4,Neah Bay
1993,-29.6,Neah Bay
1994,-40.8,Neah Bay
1995,5.8,Neah Bay
1996,-49.4,Neah Bay
1997,36.6,Neah Bay
1998,-5.0,Neah Bay
1999,-72.9,Neah Bay
2000,-100.0,Neah Bay
2001,-108.2,Neah Bay
2002,-99.1,Neah Bay
2003,-45.4,Neah Bay
2004,-68.8,Neah Bay
2005,-52.7,Neah Bay
2006,-46.5,Neah Bay
2007,-110.7,Neah Bay
2008,-114.5,Neah Bay
2009,-98.8,Neah Bay
2010,-25.9,Neah Bay
2011,-87.4,Neah Bay
2012,-45.3,Neah Bay
2013,-158.6,Neah Bay
2014,-37.1,Neah Bay
