year,level_norm,city
1984,0.0,Puerto Montt
1985,-6.5,Puerto Montt
1986,-23.1,Puerto Montt
1987,-91.5,Puerto Montt
1988,-111.2,Puerto Montt
1989,-168.8,Puerto Montt
1990,-151.8,Puerto Montt
1991,-171.1,Puerto Montt
1992,-158.5,Puerto Montt
1993,-210.2,Puerto Montt
1994,-170.6,Puerto Montt
1995,-155.7,Puerto Montt
1996,-120.0,Puerto Montt
1997,-79.1,Puerto Montt
1998,-149.7,Puerto Montt
1999,-196.8,Puerto Montt
2000,-162.2,Puerto Montt
2001,-85.9,Puerto Montt
2002,-163.3,Puerto Montt
2003,-127.1,Puerto Montt
2004,-124.4,Puerto Montt
2005,-167.3,Puerto Montt
2006,-146.4,Puerto Montt
2007,-137.5,Puerto Montt
2008,-124.7,Puerto Montt
2009,13.9,Puerto Montt
2010,-77.9,Puerto Montt
2011,-90.0,Puerto Montt
2012,-7.7,Puerto Montt
2013,-118.7,Puerto Montt
2014,-190.3,Puerto Montt
