year,level_norm,city
1984,0.0,Prince Rupert
1985,-127.3,Prince Rupert
1986,-53.3,Prince Rupert
1987,-4.8,Prince Rupert
1988,-54.4,Prince Rupert
1989,-100.5,Prince Rupert
1990,-65.5,Prince Rupert
1991,-44.3,Prince Rupert
1992,39.8,Prince Rupert
1993,-18.1,Prince Rupert
1994,-45.1,Prince Rupert
1995,-40.1,Prince Rupert
1996,-50.8,Prince Rupert
1997,30.6,Prince Rupert
1998,-1.7,Prince Rupert
1999,-27.7,Prince Rupert
2000,-54.7,Prince Rupert
2001,-25.9,Prince Rupert
2002,-58.6,Prince Rupert
2003,4.9,Prince Rupert
2004,-24.8,Prince Rupert
2005,19.1,Prince Rupert
2006,-5.0,Prince Rupert
2007,5.8,Prince Rupert
2008,-27.0,Prince Rupert
2009,-42.5,Prince Rupert
2010,31.8,Prince Rupert
2011,-2.3,Prince Rupert
2012,13.0,Prince Rupert
2013,-102.4,Prince Rupert
2014,1.4,Prince Rupert
