year,level_norm,city
1984,0.0,Kahului Harbor
1985,-27.5,Kahului Harbor
1986,-84.1,Kahului Harbor
1987,-23.9,Kahului Harbor
1988,42.2,Kahului Harbor
1989,-25.7,Kahului Harbor
1990,-75.1,Kahului Harbor
1991,-39.6,Kahului Harbor
1992,19.4,Kahului Harbor
1993,4.4,Kahului Harbor
1994,-21.0,Kahului Harbor
1995,38.0,Kahului Harbor
1996,38.5,Kahului Harbor
1997,14.9,Kahului Harbor
1998,-45.7,Kahului Harbor
1999,-23.2,Kahului Harbor
2000,-50.7,Kahului Harbor
2001,-10.4,Kahului Harbor
2002,-21.2,Kahului Harbor
2003,55.3,Kahului Harbor
2004,60.5,Kahului Harbor
2005,31.4,Kahului Harbor
2006,43.7,Kahului Harbor
2007,13.7,Kahului Harbor
2008,12.2,Kahului Harbor
2009,-35.6,Kahului Harbor
2010,-5.8,Kahului Harbor
2011,4.7,Kahului Harbor
2012,-20.6,Kahului Harbor
2013,0.8,Kahului Harbor
2014,34.9,Kahului Harbor
