year,level_norm,city
1984,0.0,Sitka
1985,-118.6,Sitka
1986,-41.2,Sitka
1987,0.7,Sitka
1988,-28.4,Sitka
1989,-112.2,Sitka
1990,-92.9,Sitka
1991,-83.9,Sitka
1992,-16.5,Sitka
1993,-62.7,Sitka
1994,-65.8,Sitka
1995,-88.4,Sitka
1996,-104.2,Sitka
1997,-27.0,Sitka
1998,-51.6,Sitka
1999,-66.8,Sitka
2000,-92.5,Sitka
2001,-64.7,Sitka
2002,-105.5,Sitka
2003,-50.3,Sitka
2004,-78.1,Sitka
2005,-44.2,Sitka
2006,-42.2,Sitka
2007,-59.0,Sitka
2008,-82.9,Sitka
2009,-127.9,Sitka
2010,-76.3,Sitka
2011,-148.3,Sitka
2012,-126.5,Sitka
2013,-237.4,Sitka
2014,-136.9,Sitka
