year,level_norm,city
1984,0.0,Woods Hole
1985,-17.5,Woods Hole
1986,-16.8,Woods Hole
1987,9.6,Woods Hole
1988,-25.1,Woods Hole
1989,-55.1,Woods Hole
1990,-60.9,Woods Hole
1991,-44.5,Woods Hole
1992,-11.8,Woods Hole
1993,-3.6,Woods Hole
1994,-50.2,Woods Hole
1995,-31.8,Woods Hole
1996,40.6,Woods Hole
1997,46.3,Woods Hole
1998,62.9,Woods Hole
1999,16.8,Woods Hole
2000,9.6,Woods Hole
2001,23.6,Woods Hole
2002,9.0,Woods Hole
2003,12.7,Woods Hole
2004,14.7,Woods Hole
2005,76.1,Woods Hole
2006,58.8,Woods Hole
2007,24.6,Woods Hole
2008,73.8,Woods Hole
2009,78.2,Woods Hole
2010,132.6,Woods Hole
2011,103.2,Woods Hole
2012,96.6,Woods Hole
2013,78.2,Woods Hole
2014,77.6,Woods Hole
